N, T, Dc, Dp, Dg, Dt, E:
20, 1,  0.000035,  0.000115,  0.000041,  0.000191, 0.000413
20, 2,  0.000034,  0.000415,  0.000032,  0.000481, 0.000645
20, 3,  0.000035,  0.000268,  0.000038,  0.000341, 0.000752
20, 5,  0.000036,  0.000485,  0.000027,  0.000548, 0.000624
20, 10,  0.000025,  0.000578,  0.000025,  0.000628, 0.000856
20, 20,  0.000047,  0.001299,  0.000020,  0.001366, 0.000891

100, 1,  0.000053,  0.002163,  0.000028,  0.002245, 0.004963
100, 2,  0.000047,  0.002004,  0.000019,  0.002070, 0.004458
100, 3,  0.000052,  0.001392,  0.000031,  0.001475, 0.004524
100, 5,  0.000052,  0.001410,  0.000034,  0.001496, 0.005107
100, 10,  0.000051,  0.001827,  0.000033,  0.001910, 0.004883
100, 20,  0.000051,  0.004438,  0.000023,  0.004512, 0.004452

1000, 1,  0.001742,  1.262161,  0.000355,  1.264258, 0.052260
1000, 2,  0.001594,  0.664658,  0.000317,  0.666569, 0.051696
1000, 3,  0.001883,  0.453763,  0.000289,  0.455935, 0.051893
1000, 5,  0.001151,  0.287805,  0.000258,  0.289214, 0.052056
1000, 10,  0.001639,  0.258637,  0.000278,  0.260554, 0.051481
1000, 20,  0.001634,  0.230817,  0.000188,  0.232639, 0.052407

10000, 1,  0.125145,  1232.074319,  0.014521,  1232.213985, 0.524352
10000, 2,  0.139637,  629.971100,  0.014833,  630.125570, 0.524223
10000, 3,  0.128121,  423.355940,  0.012330,  423.496390, 0.524767
10000, 5,  0.132627,  273.107996,  0.015903,  273.256526, 0.524491
10000, 10,  0.138273,  227.899613,  0.018373,  228.056259, 0.524929
10000, 20,  0.129428,  167.528613,  0.014839,  167.672880, 0.524015

